Ref,year,species,speciesOTT,Group,par.path,Genome.Size.Mb,HCN,MapLength.cM,Sexual.sys,Ref.number,RR.cM.Mb
Kanomori,2016,Kryptolebias_marmoratus,Kryptolebias_marmoratus_ott229709,Animals,n,680.367,24,1248,NA,175,1.834304133
Robinson,2014,Labeo_rohita,Labeo_rohita_ott160616,Animals,n,1950,25,1373.8,NA,176,0.704512821
Truco,2013,Lactuca_sativa,Lactuca_sativa_ott515700,Plants,n,2591.7,9,2974,NA,177,1.147509357
Ao,2015,Larimichthys_crocea,Larimichthys_crocea_ott679823,Animals,n,678.938,24,5451.3,NA,178,8.029157302
Guan,2011,Larix_kaempferi,Larix_kaempferi_ott154040,Plants,n,9291,12,546.5,NA,179,0.058820364
Wang,2017,Lates_calcarifer,Lates_calcarifer_ott6362446,Animals,n,684.6,24,1412.9,hermaphrodite,180,2.063832895
Sudheesh,2016,Lens_culinaris,Lens_culinaris_ott156245,Plants,n,4107.6,7,2429.61,NA,181,0.591491382
Wang,2010,Lepomis_macrochirus,Lepomis_macrochirus_ott836783,Animals,n,987.78,24,1576.75,NA,182,1.596256251
Hawthorne,2001,Leptinotarsa_decemlineata,Leptinotarsa_decemlineata_ott185597,Animals,n,449.88,18,1032,gonochorous,183,2.293945052
Cloutier,2012,Linum_usitatissimum,Linum_usitatissimum_ott1000262,Plants,n,684.6,15,1151,NA,184,1.681273736
Yu,2015,Litopenaeus_vannamei,Penaeus_vannamei_ott169168,Animals,n,2640,44,4271.43,gonochorous,185,1.617965909
Guan,2014,Lolium_multiflorum,Lolium_multiflorum_ott135777,Plants,n,2660.16,7,488.8,NA,186,0.183748346
Velmurugan,2016,Lolium_perenne,Lolium_perenne_ott135774,Plants,n,2365.782,7,952.6,NA,187,0.402657557
Wang,2008,Lotus_japonicus,Lotus_japonicus_ott1081728,Plants,n,469.44,6,508.5,NA,188,1.083205521
Berdan,2014,Lucania_goodei,Lucania_goodei_ott84261,Animals,n,1319.322,24,392,gonochorous,189,0.29712231
Berdan,2014,Lucania_parva,Lucania_parva_ott839518,Animals,n,1391.694,23,605,gonochorous,190,0.434722001
Wu,2016,Luffa_acutangula,Luffa_acutangula_ott565719,Plants,n,831.3,13,1436.12,NA,191,1.727559245
Vipin,2013,Lupinus_albus,Lupinus_albus_ott1030424,Plants,n,586.8,25,2169,NA,192,3.696319018
Yang,2013,Lupinus_angustifolius,Lupinus_angustifolius_ott1030433,Plants,n,1153,20,1629.9,NA,193,1.413616652
Rogers,2006,Macaca_mulatta,Macaca_mulatta_ott689650,Animals,n,3290.97,22,2048,gonochorous,194,0.622308924
Wang,2011,Macropus_eugenii,Macropus_eugenii_ott539171,Animals,n,1153,7,1402.4,gonochorous,195,1.216305291
Zheng,2008,Magnaporthe_grisea,Magnaporthe_grisea_ott258235,Fungi,y,42.711,7,1247,NA,196,29.1962258
DiPierro,2016,Malus_domestica,Malus_domestica_ott3902985,Plants,n,1874.77,17,1267,NA,197,0.675816233
Liu,2016,Malus_sieversii,Malus_sieversii_ott321926,Plants,n,733.5,17,1299.67,NA,198,1.771874574
Clark,2014,Malus_pumila,Malus_pumila_ott854961,Plants,n,753.06,17,1481.72,NA,199,1.967598863
Luo,2016,Mangifera_indica,Mangifera_foetida_ott422407,Plants,n,440.1,20,3148.28,NA,200,7.15355601
Alaba,2015,Manihot_esculenta,Manihot_esculenta_ott339369,Plants,n,1222.5,18,2412,NA,201,1.973006135
Lu,2016,Marsupenaeus_japonicus,Penaeus_japonicus_ott5787510,Animals,n,2767.74,43,3610.9,gonochorous,202,1.304638441
Li,2014,Medicago_sativa,Medicago_sativa_ott1086789,Plants,n,1276.29,32,2133,NA,203,1.671250264
Gorton,2012,Medicago_truncatula,Medicago_truncatula_ott1060499,Plants,n,469.44,8,1215,NA,204,2.588190184
Anderson,2016,Melampsora_lini,Melampsora_lini_ott809207,Fungi,y,170.172,18,5860,NA,205,34.43574736
Aslam,2010,Meleagris_gallopavo,Meleagris_gallopavo_ott446482,Animals,n,1431.14,32,2324,gonochorous,206,1.623880263
Thomas,2012,Meloidogyne_hapla,Meloidogyne_hapla_ott1043271,Animals,y,53.013,16,1294.1,parthenogenic,207,24.41099353
Nietlisbach,2015,Melospiza_melodia,Melospiza_melodia_ott265548,Animals,n,1398.54,40,1731,gonochorous,208,1.237719336
O'Quin,2013,Metriaclima_zebra,Maylandia_zebra_ott677719,Animals,n,848.776495,22,1933,NA,209,2.277395771
McGraw,2011,Microtus_ochrogaster,Microtus_ochrogaster_ott927240,Animals,n,2287.34,28,1707,gonochorous,210,0.746281707
Holeski,2014,Mimulus_guttatus,Erythranthe_guttata_ott504496,Plants,n,450,14,1750,NA,211,3.888888889
Liu,2016,Miscanthus_sinensis,Miscanthus_sinensis_ott764796,Plants,n,2591.7,19,1605.5,NA,212,0.619477563
Morishima,2008,Misgurnus_anguillicaudatus,Misgurnus_anguillicaudatus_ott312382,Animals,n,1594.14,25,723.35,gonochorous,213,0.45375563
Samollow,2007,Monodelphis_domestica,Monodelphis_domestica_ott122362,Animals,n,3598.44,9,715,gonochorous,214,0.198697213
Hipplyte,2010,Musa_acuminata,Musa_acuminata_ott207474,Plants,n,472.231,11,1197,NA,215,2.534776412
Kema,2002,Mycosphaerella_graminicola,Mycosphaerella_graminicola_ott5319573,Fungi,y,39.7,21,1216,NA,216,30.62972292
